31 ARALIK 2019 TARÝHLÝ ADRESE DAYALI NÜFUS KAYIT SÝSTEMÝ (ADNKS) SONUÇLARI;;;;;;;;;;
ÝLLERE GÖRE ÝL/ÝLÇE MERKEZLERÝ ÝLE BELDE/KÖY NÜFUSLARI;;;;;;;;;;
;;;;;;;;;;
"Açýklamalar:
(1) Ýl, ilçe, belediye, köy ve mahallelere göre nüfuslar belirlenirken, Nüfus ve Vatandaþlýk Ýþleri Genel Müdürlüðü tarafýndan ilgili mevzuat ve idari kayýtlar uyarýnca Ulusal Adres Veri Tabaný’nda yerleþim yerlerine yönelik olarak yapýlan idari baðlýlýk, tüzel kiþilik ve isim deðiþiklikleri dikkate alýnmaktadýr.
(2) ""-"": Bilgi yoktur.";;;;;;;;;;
;;;;;;;;;;
ÝL KAYIT NO;ÝL ADI;TOPLAM;;;ÝL VE ÝLÇE MERKEZLERÝ;;;BELDE VE KÖYLER;;
;;TOPLAM;ERKEK;KADIN;TOPLAM;ERKEK;KADIN;TOPLAM;ERKEK;KADIN
TOPLAM;;83.154.997;41.721.136;41.433.861;77.151.280;38.660.605;38.490.675;6.003.717;3.060.531;2.943.186
1;ADANA;2.237.940;1.117.032;1.120.908;2.237.940;1.117.032;1.120.908;-;-;-
2;ADIYAMAN;626.465;316.112;310.353;431.758;216.859;214.899;194.707;99.253;95.454
3;AFYONKARAHÝSAR;729.483;362.447;367.036;436.233;215.684;220.549;293.250;146.763;146.487
4;AÐRI;536.199;277.887;258.312;307.539;157.157;150.382;228.660;120.730;107.930
5;AMASYA;337.800;170.407;167.393;245.778;124.532;121.246;92.022;45.875;46.147
6;ANKARA;5.639.076;2.793.850;2.845.226;5.639.076;2.793.850;2.845.226;-;-;-
7;ANTALYA;2.511.700;1.265.171;1.246.529;2.511.700;1.265.171;1.246.529;-;-;-
8;ARTVÝN;170.875;85.975;84.900;106.389;53.199;53.190;64.486;32.776;31.710
9;AYDIN;1.110.972;552.626;558.346;1.110.972;552.626;558.346;-;-;-
10;BALIKESÝR;1.228.620;613.474;615.146;1.228.620;613.474;615.146;-;-;-
11;BÝLECÝK;219.427;112.027;107.400;178.534;91.323;87.211;40.893;20.704;20.189
12;BÝNGÖL;279.812;141.818;137.994;179.821;89.829;89.992;99.991;51.989;48.002
13;BÝTLÝS;348.115;179.823;168.292;206.402;106.502;99.900;141.713;73.321;68.392
14;BOLU;316.126;156.777;159.349;226.629;113.072;113.557;89.497;43.705;45.792
15;BURDUR;270.796;136.377;134.419;185.501;94.355;91.146;85.295;42.022;43.273
16;BURSA;3.056.120;1.530.956;1.525.164;3.056.120;1.530.956;1.525.164;-;-;-
17;ÇANAKKALE;542.157;272.097;270.060;328.736;163.662;165.074;213.421;108.435;104.986
18;ÇANKIRI;195.789;98.683;97.106;135.140;68.056;67.084;60.649;30.627;30.022
19;ÇORUM;530.864;263.354;267.510;393.522;194.494;199.028;137.342;68.860;68.482
20;DENÝZLÝ;1.037.208;517.716;519.492;1.037.208;517.716;519.492;-;-;-
21;DÝYARBAKIR;1.756.353;886.190;870.163;1.756.353;886.190;870.163;-;-;-
22;EDÝRNE;413.903;210.304;203.599;306.464;155.254;151.210;107.439;55.050;52.389
23;ELAZIÐ;591.098;293.415;297.683;450.551;223.248;227.303;140.547;70.167;70.380
24;ERZÝNCAN;234.747;119.906;114.841;177.564;89.608;87.956;57.183;30.298;26.885
25;ERZURUM;762.062;379.893;382.169;762.062;379.893;382.169;-;-;-
26;ESKÝÞEHÝR;887.475;443.635;443.840;887.475;443.635;443.840;-;-;-
27;GAZÝANTEP;2.069.364;1.044.799;1.024.565;2.069.364;1.044.799;1.024.565;-;-;-
28;GÝRESUN;448.400;223.422;224.978;299.792;148.303;151.489;148.608;75.119;73.489
29;GÜMÜÞHANE;164.521;83.196;81.325;100.157;49.244;50.913;64.364;33.952;30.412
30;HAKKARÝ;280.991;151.143;129.848;165.140;88.944;76.196;115.851;62.199;53.652
31;HATAY;1.628.894;817.998;810.896;1.628.894;817.998;810.896;-;-;-
32;ISPARTA;444.914;221.316;223.598;328.678;163.359;165.319;116.236;57.957;58.279
33;MERSÝN;1.840.425;919.594;920.831;1.840.425;919.594;920.831;-;-;-
34;ÝSTANBUL;15.519.267;7.790.256;7.729.011;15.519.267;7.790.256;7.729.011;-;-;-
35;ÝZMÝR;4.367.251;2.174.319;2.192.932;4.367.251;2.174.319;2.192.932;-;-;-
36;KARS;285.410;146.668;138.742;138.934;70.057;68.877;146.476;76.611;69.865
37;KASTAMONU;379.405;189.247;190.158;237.783;118.009;119.774;141.622;71.238;70.384
38;KAYSERÝ;1.407.409;705.545;701.864;1.407.409;705.545;701.864;-;-;-
39;KIRKLARELÝ;361.836;185.070;176.766;259.302;132.472;126.830;102.534;52.598;49.936
40;KIRÞEHÝR;242.938;120.557;122.381;191.417;94.558;96.859;51.521;25.999;25.522
41;KOCAELÝ;1.953.035;988.098;964.937;1.953.035;988.098;964.937;-;-;-
42;KONYA;2.232.374;1.108.968;1.123.406;2.232.374;1.108.968;1.123.406;-;-;-
43;KÜTAHYA;579.257;285.020;294.237;413.102;203.067;210.035;166.155;81.953;84.202
44;MALATYA;800.165;398.249;401.916;800.165;398.249;401.916;-;-;-
45;MANÝSA;1.440.611;725.238;715.373;1.440.611;725.238;715.373;-;-;-
46;KAHRAMANMARAÞ;1.154.102;586.616;567.486;1.154.102;586.616;567.486;-;-;-
47;MARDÝN;838.778;420.923;417.855;838.778;420.923;417.855;-;-;-
48;MUÐLA;983.142;500.602;482.540;983.142;500.602;482.540;-;-;-
49;MUÞ;408.809;208.534;200.275;189.102;95.639;93.463;219.707;112.895;106.812
50;NEVÞEHÝR;303.010;150.047;152.963;194.058;95.045;99.013;108.952;55.002;53.950
51;NÝÐDE;362.861;182.177;180.684;217.640;108.695;108.945;145.221;73.482;71.739
52;ORDU;754.198;376.933;377.265;754.198;376.933;377.265;-;-;-
53;RÝZE;343.212;171.571;171.641;223.584;110.659;112.925;119.628;60.912;58.716
54;SAKARYA;1.029.650;516.000;513.650;1.029.650;516.000;513.650;-;-;-
55;SAMSUN;1.348.542;669.055;679.487;1.348.542;669.055;679.487;-;-;-
56;SÝÝRT;330.280;169.211;161.069;218.553;113.205;105.348;111.727;56.006;55.721
57;SÝNOP;218.243;108.927;109.316;134.385;66.164;68.221;83.858;42.763;41.095
58;SÝVAS;638.956;319.624;319.332;475.643;236.106;239.537;163.313;83.518;79.795
59;TEKÝRDAÐ;1.055.412;542.646;512.766;1.055.412;542.646;512.766;-;-;-
60;TOKAT;612.747;304.938;307.809;395.106;194.346;200.760;217.641;110.592;107.049
61;TRABZON;808.974;400.723;408.251;808.974;400.723;408.251;-;-;-
62;TUNCELÝ;84.660;46.082;38.578;54.595;29.385;25.210;30.065;16.697;13.368
63;ÞANLIURFA;2.073.614;1.045.964;1.027.650;2.073.614;1.045.964;1.027.650;-;-;-
64;UÞAK;370.509;184.529;185.980;278.806;139.995;138.811;91.703;44.534;47.169
65;VAN;1.136.757;578.044;558.713;1.136.757;578.044;558.713;-;-;-
66;YOZGAT;421.200;210.127;211.073;275.026;137.033;137.993;146.174;73.094;73.080
67;ZONGULDAK;596.053;295.832;300.221;369.112;181.424;187.688;226.941;114.408;112.533
68;AKSARAY;416.367;207.390;208.977;293.878;145.931;147.947;122.489;61.459;61.030
69;BAYBURT;84.843;43.006;41.837;52.517;26.582;25.935;32.326;16.424;15.902
70;KARAMAN;253.279;126.648;126.631;190.269;94.559;95.710;63.010;32.089;30.921
71;KIRIKKALE;283.017;141.865;141.152;246.634;123.173;123.461;36.383;18.692;17.691
72;BATMAN;608.659;306.261;302.398;492.312;247.200;245.112;116.347;59.061;57.286
73;ÞIRNAK;529.615;277.728;251.887;335.652;174.086;161.566;193.963;103.642;90.321
74;BARTIN;198.249;97.908;100.341;86.527;42.367;44.160;111.722;55.541;56.181
75;ARDAHAN;97.319;50.697;46.622;39.272;20.435;18.837;58.047;30.262;27.785
76;IÐDIR;199.442;102.417;97.025;113.134;57.233;55.901;86.308;45.184;41.124
77;YALOVA;270.976;135.909;135.067;200.274;99.689;100.585;70.702;36.220;34.482
78;KARABÜK;248.458;124.291;124.167;191.536;93.642;97.894;56.922;30.649;26.273
79;KÝLÝS;142.490;72.520;69.970;108.172;53.947;54.225;34.318;18.573;15.745
80;OSMANÝYE;538.759;272.242;266.517;416.335;208.308;208.027;122.424;63.934;58.490
81;DÜZCE;392.166;196.494;195.672;258.802;129.797;129.005;133.364;66.697;66.667
