Ay;YIL;Doğum Sayısı;
Aralık;2009;86674;
;2010;87443;
;2011;90705;
;2012;91480;
;2013;95370;
;2014;100649;
;2015;97658;
;2016;99721;
;2017;99753;
;2018;96279;
;2019;92476;
Ağustos;2009;116229;
;2010;113082;
;2011;121152;
;2012;123634;
;2013;121625;
;2014;126296;
;2015;123251;
;2016;124701;
;2017;122220;
;2018;116493;
;2019;108728;
Ekim;2009;105407;
;2010;104427;
;2011;105048;
;2012;108327;
;2013;110716;
;2014;111754;
;2015;112787;
;2016;107825;
;2017;108382;
;2018;107579;
;2019;97784;
Eylül;2009;115824;
;2010;110324;
;2011;112959;
;2012;110338;
;2013;112913;
;2014;119030;
;2015;116388;
;2016;114229;
;2017;110647;
;2018;106864;
;2019;99507;
Haziran;2009;107847;
;2010;109441;
;2011;104086;
;2012;110056;
;2013;109672;
;2014;115978;
;2015;115638;
;2016;117874;
;2017;115679;
;2018;110172;
;2019;97590;
Kasım;2009;96155;
;2010;101610;
;2011;102970;
;2012;102413;
;2013;104182;
;2014;105566;
;2015;106284;
;2016;104830;
;2017;104218;
;2018;100208;
;2019;92375;
Mart;2009;99419;
;2010;103583;
;2011;100992;
;2012;105499;
;2013;102471;
;2014;105603;
;2015;105764;
;2016;105057;
;2017;101582;
;2018;101115;
;2019;96365;
Mayıs;2009;103783;
;2010;103676;
;2011;94131;
;2012;105807;
;2013;106757;
;2014;112448;
;2015;105201;
;2016;103967;
;2017;106138;
;2018;104541;
;2019;104821;
Nisan;2009;103432;
;2010;99477;
;2011;95348;
;2012;98880;
;2013;96865;
;2014;105652;
;2015;103073;
;2016;101852;
;2017;95998;
;2018;94593;
;2019;92724;
Ocak;2009;122407;
;2010;119444;
;2011;118547;
;2012;119556;
;2013;118373;
;2014;121694;
;2015;120330;
;2016;114158;
;2017;114836;
;2018;107348;
;2019;103798;
Temmuz;2009;117160;
;2010;113639;
;2011;114390;
;2012;118649;
;2013;123758;
;2014;129616;
;2015;130906;
;2016;119992;
;2017;122742;
;2018;117725;
;2019;112187;
Şubat;2009;92414;
;2010;95023;
;2011;92484;
;2012;99966;
;2013;94803;
;2014;96802;
;2015;99142;
;2016;100558;
;2017;95443;
;2018;89828;
;2019;85297;
;;;
